Columns: lon lat depth mrr mtt mpp mrt mrp mtp iexp name lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name

97.12 3.04 61 -0.79 0.68 0.11 1.12 -1.77 -0.83 24 X Y 061197F 3.04 95 19 -140 327 78 -76 2.360 24 061197F
97.00 0.50 43 0.73 -0.78 0.05 1.24 -1.43 1.30 24 X Y 070797C 0.50 269 24 36 145 76 110 2.300 24 070797C
97.16 0.86 32 2.88 -2.00 -0.88 4.30 -4.69 2.48 24 X Y 070797D 0.86 294 15 68 137 76 96 7.240 24 070797D
96.66 4.50 15 0.35 -8.60 8.25 -3.06 0.46 -6.57 24 X Y 082097B 4.50 25 75 -4 116 87 -165 11.110 24 082097B
94.74 6.55 120 -0.69 -1.82 2.50 0.32 -0.42 -3.48 23 X Y 082697F 6.55 196 86 4 106 86 176 4.120 23 082697F
94.45 7.02 70 2.67 -4.05 1.38 -3.93 -1.66 -0.00 23 X Y 111797G 7.02 117 25 135 250 73 72 5.520 23 111797G
93.63 9.38 111 4.08 -9.35 5.27 2.17 -9.36 -4.23 23 X Y 011298K 9.38 111 60 149 218 64 33 12.710 23 011298K
92.98 1.62 15 0.01 -1.08 1.07 -0.76 -0.67 -1.79 24 X Y 030698A 1.62 108 70 -169 14 80 -20 2.290 24 030698A
94.42 7.43 28 -0.10 -1.02 1.13 -0.05 -0.32 0.59 24 X Y 080998A 7.43 240 80 8 149 82 170 1.260 24 080998A
94.39 7.58 24 0.63 -8.84 8.20 0.65 -0.84 3.88 24 X Y 081098A 7.58 237 84 0 147 90 174 9.420 24 081098A
94.34 7.73 52 -0.27 -8.80 9.06 -2.29 -0.96 8.17 23 X Y 101598C 7.73 156 78 -180 66 90 -12 12.360 23 101598C
95.16 3.96 47 -2.99 2.29 0.70 1.09 -3.32 -4.60 24 X Y 020499F 3.96 93 43 -152 341 71 -51 6.200 24 020499F
95.98 5.02 15 0.10 -1.93 1.84 -0.75 0.43 -0.72 24 X Y 021599C 5.02 34 67 0 304 90 157 2.190 24 021599C
96.32 3.08 24 0.18 -0.38 0.19 1.09 -0.64 0.05 24 X Y 022499D 3.08 237 11 27 121 85 100 1.300 24 022499D
90.13 3.64 22 -0.30 -1.59 1.89 -0.12 -0.25 -1.31 24 X Y 052599C 3.64 117 82 -178 26 88 -8 2.200 24 052599C
93.49 5.12 15 -0.14 -0.59 0.73 0.90 -0.65 3.91 23 X Y 062299C 5.12 264 79 -11 356 79 -169 4.110 23 062299C
97.26 4.56 166 1.49 -1.30 -0.19 2.84 0.20 0.03 24 X Y 072199D 4.56 275 13 98 87 77 88 3.170 24 072199D
93.52 8.88 25 -0.03 2.96 -2.94 -5.58 -2.29 5.60 23 X Y 082999B 8.88 187 58 167 285 79 33 8.240 23 082999B
94.56 7.05 25 -0.88 -5.81 6.69 -1.69 2.11 2.18 23 X Y 121899A 7.05 54 67 -5 146 85 -157 7.170 23 121899A
97.68 1.40 34 3.20 -1.14 -2.06 -2.28 -2.37 -2.70 23 X Y 010600A 1.40 34 25 82 223 66 94 5.000 23 010600A
96.31 4.99 16 -0.00 -1.94 1.94 -0.87 0.56 -0.00 24 X Y 031000D 4.99 44 63 -4 135 86 -153 2.190 24 031000D
96.62 4.50 15 1.28 -6.00 4.72 -0.33 2.46 -3.44 23 X Y 071900A 4.50 296 71 165 31 75 19 6.920 23 071900A
92.99 4.07 35 -4.16 -2.33 6.49 1.09 -1.54 -9.71 23 X Y 080100F 4.07 192 86 4 102 86 176 10.770 23 080100F
94.63 5.77 66 0.00 -0.62 0.62 -0.49 -1.28 -3.28 24 X Y 081700D 5.77 96 69 -175 5 86 -21 3.610 24 081700D
96.28 1.22 20 9.78 -5.36 -4.42 2.61 -3.47 4.79 24 X Y 090100C 1.22 308 33 83 137 57 95 10.670 24 090100C
94.92 4.17 24 1.59 -3.77 2.18 -0.19 -0.95 1.90 23 X Y 090400A 4.17 147 69 158 245 69 22 3.810 23 090400A
